event_type,region,country,state,city_code,city_name,date_type,date,name,description,optional,source,started_at,finished_at,created_at,updated_at,revised_at,published_at
HOLIDAY,CITY,BR,MG,3132909,ITAMOGI,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,BA,2901403,ANGICAL,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,BA,2907905,CIPÓ,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,BA,2910750,FÁTIMA,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,BA,2927002,RIO REAL,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,MG,3111408,CAMPO FLORIDO,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,MG,3116159,CHAPADA GAÚCHA,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,MG,3123809,ENGENHEIRO NAVARRO,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,MG,3143203,MONTE SANTO DE MINAS,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,MG,3104106,ARCEBURGO,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,CE,2304657,GRAÇA,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,ES,3200201,ALEGRE,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,PE,2613008,SÃO BENTO DO UNA,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,MG,3158102,SANTA MARIA DO SALTO,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,MG,3160801,SÃO BENTO ABADE,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,MG,3163904,SÃO PEDRO DA UNIÃO,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,MG,3170602,VARGEM BONITA,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,GO,5211206,ITAPURANGA,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,GO,5209150,GOUVELÂNDIA,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,SP,3532801,NOVA ALIANÇA,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,SP,3534906,PACAEMBU,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,RS,4316436,SALDANHA MARINHO,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,SP,3532603,NHANDEARA,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,PE,2613602,SÃO JOSÉ DO EGITO,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,MS,5002159,BODOQUENA,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,RN,2412302,SÃO JOSÉ DO CAMPESTRE,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,PA,1500404,ALENQUER,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,MA,2107704,PARAIBANO,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,PE,2613305,SÃO JOAQUIM DO MONTE,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,SP,3547908,SANTO ANTÔNIO DA ALEGRIA,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,SC,4204608,CRICIÚMA,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,BA,2905701,CAMAÇARI,FIXED,01-07,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,BA,2916104,ITAPARICA,FIXED,01-07,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,MG,3113305,CARANGOLA,FIXED,01-07,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,MG,3148608,PEÇANHA,FIXED,01-07,Feriado municipal,,,FEBRABAN,,,,,,
